type,sex,cancer,cancer_label,country,country_label,year,age,cases,py
1,2,16,"Cervix uteri",7600,"Brazil",1988,1,0,45407
1,2,16,"Cervix uteri",7600,"Brazil",1988,2,0,45639
1,2,16,"Cervix uteri",7600,"Brazil",1988,3,0,47948
1,2,16,"Cervix uteri",7600,"Brazil",1988,4,0,53635
1,2,16,"Cervix uteri",7600,"Brazil",1988,5,4,51333
1,2,16,"Cervix uteri",7600,"Brazil",1988,6,8,45262
1,2,16,"Cervix uteri",7600,"Brazil",1988,7,14,37621
1,2,16,"Cervix uteri",7600,"Brazil",1988,8,16,30689
1,2,16,"Cervix uteri",7600,"Brazil",1988,9,32,24349
1,2,16,"Cervix uteri",7600,"Brazil",1988,10,18,18508
1,2,16,"Cervix uteri",7600,"Brazil",1988,11,27,14258
1,2,16,"Cervix uteri",7600,"Brazil",1988,12,20,11463
1,2,16,"Cervix uteri",7600,"Brazil",1988,13,12,8866
1,2,16,"Cervix uteri",7600,"Brazil",1988,14,7,6483
1,2,16,"Cervix uteri",7600,"Brazil",1988,15,9,4085
1,2,16,"Cervix uteri",7600,"Brazil",1988,16,11,2687
1,2,16,"Cervix uteri",7600,"Brazil",1988,17,6,2225
1,2,16,"Cervix uteri",7600,"Brazil",1988,18,1,0
1,2,16,"Cervix uteri",7600,"Brazil",1988,19,0,0
1,2,16,"Cervix uteri",7600,"Brazil",1989,1,0,45384
1,2,16,"Cervix uteri",7600,"Brazil",1989,2,0,46375
1,2,16,"Cervix uteri",7600,"Brazil",1989,3,0,48672
1,2,16,"Cervix uteri",7600,"Brazil",1989,4,0,54122
1,2,16,"Cervix uteri",7600,"Brazil",1989,5,5,52102
1,2,16,"Cervix uteri",7600,"Brazil",1989,6,4,46513
1,2,16,"Cervix uteri",7600,"Brazil",1989,7,18,39020
1,2,16,"Cervix uteri",7600,"Brazil",1989,8,25,31950
1,2,16,"Cervix uteri",7600,"Brazil",1989,9,25,25241
1,2,16,"Cervix uteri",7600,"Brazil",1989,10,26,19148
1,2,16,"Cervix uteri",7600,"Brazil",1989,11,16,14703
1,2,16,"Cervix uteri",7600,"Brazil",1989,12,20,11882
1,2,16,"Cervix uteri",7600,"Brazil",1989,13,16,9227
1,2,16,"Cervix uteri",7600,"Brazil",1989,14,9,6727
1,2,16,"Cervix uteri",7600,"Brazil",1989,15,9,4274
1,2,16,"Cervix uteri",7600,"Brazil",1989,16,3,2818
1,2,16,"Cervix uteri",7600,"Brazil",1989,17,5,2360
1,2,16,"Cervix uteri",7600,"Brazil",1989,18,3,0
1,2,16,"Cervix uteri",7600,"Brazil",1989,19,0,0
1,2,16,"Cervix uteri",7600,"Brazil",1990,1,0,45365
1,2,16,"Cervix uteri",7600,"Brazil",1990,2,0,47093
1,2,16,"Cervix uteri",7600,"Brazil",1990,3,0,49378
1,2,16,"Cervix uteri",7600,"Brazil",1990,4,1,54597
1,2,16,"Cervix uteri",7600,"Brazil",1990,5,4,52852
1,2,16,"Cervix uteri",7600,"Brazil",1990,6,11,47733
1,2,16,"Cervix uteri",7600,"Brazil",1990,7,19,40385
1,2,16,"Cervix uteri",7600,"Brazil",1990,8,20,33178
1,2,16,"Cervix uteri",7600,"Brazil",1990,9,25,26111
1,2,16,"Cervix uteri",7600,"Brazil",1990,10,15,19773
1,2,16,"Cervix uteri",7600,"Brazil",1990,11,17,15136
1,2,16,"Cervix uteri",7600,"Brazil",1990,12,16,12291
1,2,16,"Cervix uteri",7600,"Brazil",1990,13,19,9579
1,2,16,"Cervix uteri",7600,"Brazil",1990,14,14,6964
1,2,16,"Cervix uteri",7600,"Brazil",1990,15,6,4457
1,2,16,"Cervix uteri",7600,"Brazil",1990,16,5,2945
1,2,16,"Cervix uteri",7600,"Brazil",1990,17,4,2491
1,2,16,"Cervix uteri",7600,"Brazil",1990,18,1,0
1,2,16,"Cervix uteri",7600,"Brazil",1990,19,0,0
1,2,16,"Cervix uteri",7600,"Brazil",1991,1,0,45339
1,2,16,"Cervix uteri",7600,"Brazil",1991,2,0,47920
1,2,16,"Cervix uteri",7600,"Brazil",1991,3,0,50192
1,2,16,"Cervix uteri",7600,"Brazil",1991,4,0,55143
1,2,16,"Cervix uteri",7600,"Brazil",1991,5,3,53716
1,2,16,"Cervix uteri",7600,"Brazil",1991,6,5,49138
1,2,16,"Cervix uteri",7600,"Brazil",1991,7,19,41956
1,2,16,"Cervix uteri",7600,"Brazil",1991,8,22,34593
1,2,16,"Cervix uteri",7600,"Brazil",1991,9,12,27112
1,2,16,"Cervix uteri",7600,"Brazil",1991,10,24,20492
1,2,16,"Cervix uteri",7600,"Brazil",1991,11,16,15636
1,2,16,"Cervix uteri",7600,"Brazil",1991,12,18,12762
1,2,16,"Cervix uteri",7600,"Brazil",1991,13,9,9985
1,2,16,"Cervix uteri",7600,"Brazil",1991,14,12,7237
1,2,16,"Cervix uteri",7600,"Brazil",1991,15,12,4669
1,2,16,"Cervix uteri",7600,"Brazil",1991,16,7,3092
1,2,16,"Cervix uteri",7600,"Brazil",1991,17,2,2643
1,2,16,"Cervix uteri",7600,"Brazil",1991,18,2,0
1,2,16,"Cervix uteri",7600,"Brazil",1991,19,0,0
1,2,16,"Cervix uteri",7600,"Brazil",1992,1,0,44953
1,2,16,"Cervix uteri",7600,"Brazil",1992,2,0,47394
1,2,16,"Cervix uteri",7600,"Brazil",1992,3,0,50328
1,2,16,"Cervix uteri",7600,"Brazil",1992,4,1,55800
1,2,16,"Cervix uteri",7600,"Brazil",1992,5,3,54385
1,2,16,"Cervix uteri",7600,"Brazil",1992,6,6,49450
1,2,16,"Cervix uteri",7600,"Brazil",1992,7,20,42957
1,2,16,"Cervix uteri",7600,"Brazil",1992,8,15,35741
1,2,16,"Cervix uteri",7600,"Brazil",1992,9,32,28398
1,2,16,"Cervix uteri",7600,"Brazil",1992,10,19,21544
1,2,16,"Cervix uteri",7600,"Brazil",1992,11,8,16350
1,2,16,"Cervix uteri",7600,"Brazil",1992,12,17,13111
1,2,16,"Cervix uteri",7600,"Brazil",1992,13,16,10369
1,2,16,"Cervix uteri",7600,"Brazil",1992,14,10,7550
1,2,16,"Cervix uteri",7600,"Brazil",1992,15,6,4928
1,2,16,"Cervix uteri",7600,"Brazil",1992,16,7,3228
1,2,16,"Cervix uteri",7600,"Brazil",1992,17,4,2829
1,2,16,"Cervix uteri",7600,"Brazil",1992,18,2,0
1,2,16,"Cervix uteri",7600,"Brazil",1992,19,0,0
1,2,16,"Cervix uteri",7600,"Brazil",1993,1,0,47077
1,2,16,"Cervix uteri",7600,"Brazil",1993,2,0,49756
1,2,16,"Cervix uteri",7600,"Brazil",1993,3,0,52115
1,2,16,"Cervix uteri",7600,"Brazil",1993,4,0,57256
1,2,16,"Cervix uteri",7600,"Brazil",1993,5,6,55775
1,2,16,"Cervix uteri",7600,"Brazil",1993,6,13,51021
1,2,16,"Cervix uteri",7600,"Brazil",1993,7,22,43564
1,2,16,"Cervix uteri",7600,"Brazil",1993,8,20,35919
1,2,16,"Cervix uteri",7600,"Brazil",1993,9,19,28151
1,2,16,"Cervix uteri",7600,"Brazil",1993,10,22,21277
1,2,16,"Cervix uteri",7600,"Brazil",1993,11,14,16235
1,2,16,"Cervix uteri",7600,"Brazil",1993,12,15,13251
1,2,16,"Cervix uteri",7600,"Brazil",1993,13,18,10368
1,2,16,"Cervix uteri",7600,"Brazil",1993,14,9,7514
1,2,16,"Cervix uteri",7600,"Brazil",1993,15,9,4848
1,2,16,"Cervix uteri",7600,"Brazil",1993,16,6,3210
1,2,16,"Cervix uteri",7600,"Brazil",1993,17,1,2744
1,2,16,"Cervix uteri",7600,"Brazil",1993,18,1,0
1,2,16,"Cervix uteri",7600,"Brazil",1993,19,0,0
1,2,16,"Cervix uteri",7600,"Brazil",1994,1,0,47859
1,2,16,"Cervix uteri",7600,"Brazil",1994,2,0,50583
1,2,16,"Cervix uteri",7600,"Brazil",1994,3,0,52982
1,2,16,"Cervix uteri",7600,"Brazil",1994,4,0,58208
1,2,16,"Cervix uteri",7600,"Brazil",1994,5,1,56701
1,2,16,"Cervix uteri",7600,"Brazil",1994,6,10,51869
1,2,16,"Cervix uteri",7600,"Brazil",1994,7,18,44288
1,2,16,"Cervix uteri",7600,"Brazil",1994,8,20,36516
1,2,16,"Cervix uteri",7600,"Brazil",1994,9,26,28619
1,2,16,"Cervix uteri",7600,"Brazil",1994,10,20,21631
1,2,16,"Cervix uteri",7600,"Brazil",1994,11,14,16505
1,2,16,"Cervix uteri",7600,"Brazil",1994,12,16,13471
1,2,16,"Cervix uteri",7600,"Brazil",1994,13,14,10540
1,2,16,"Cervix uteri",7600,"Brazil",1994,14,17,7639
1,2,16,"Cervix uteri",7600,"Brazil",1994,15,4,4928
1,2,16,"Cervix uteri",7600,"Brazil",1994,16,3,3264
1,2,16,"Cervix uteri",7600,"Brazil",1994,17,3,2790
1,2,16,"Cervix uteri",7600,"Brazil",1994,18,1,0
1,2,16,"Cervix uteri",7600,"Brazil",1994,19,0,0
1,2,16,"Cervix uteri",7600,"Brazil",1995,1,0,48622
1,2,16,"Cervix uteri",7600,"Brazil",1995,2,0,51390
1,2,16,"Cervix uteri",7600,"Brazil",1995,3,0,53826
1,2,16,"Cervix uteri",7600,"Brazil",1995,4,0,59136
1,2,16,"Cervix uteri",7600,"Brazil",1995,5,4,57605
1,2,16,"Cervix uteri",7600,"Brazil",1995,6,13,52696
