sex	age	pop
1	1	118486
1	2	133655
1	3	140349
1	4	149626.2
1	5	167891
1	6	170045.8000000001
1	7	156034.5999999998
1	8	141200.5999999998
1	9	135205.4000000001
1	10	122362.5999999999
1	11	107464.4000000001
1	12	83996.7999999999
1	13	62747.20000000007
1	14	48361.39999999994
1	15	37624.60000000004
1	16	19085.6
1	17	9542.799999999999
1	18	9542.799999999999
1	19	0
2	1	112819.2000000001
2	2	126994.5999999999
2	3	133810.7999999999
2	4	143201.2
2	5	166458.5999999998
2	6	167567
2	7	154591.2
2	8	139911.4000000002
2	9	134035
2	10	118615.2000000001
2	11	108808.2000000001
2	12	84643.40000000004
2	13	65155
2	14	54800.20000000006
2	15	45630.39999999995
2	16	27723.60000000003
2	17	13861.80000000001
2	18	13861.80000000001
2	19	0
