"sex","age","pop","year"
1,1,102934.216371745,"1993"
1,2,116112.221605638,"1993"
1,3,121927.606076313,"1993"
1,4,129987.134730534,"1993"
1,5,145854.603251597,"1993"
1,6,147726.576728951,"1993"
1,7,135554.405397082,"1993"
1,8,122667.430010467,"1993"
1,9,117459.125113755,"1993"
1,10,106301.996389525,"1993"
1,11,93359.2475217306,"1993"
1,12,72971.8682859932,"1993"
1,13,54511.3672629777,"1993"
1,14,42013.7637496456,"1993"
1,15,32686.2137071077,"1993"
1,16,16580.5350841836,"1993"
1,17,8290.26754209181,"1993"
1,18,8290.26754209181,"1993"
1,19,0,"1993"
2,1,98011.207599946,"1993"
2,2,110326.026994271,"1993"
2,3,116247.572203267,"1993"
2,4,124405.442883493,"1993"
2,5,144610.211749386,"1993"
2,6,145573.129608259,"1993"
2,7,134300.457690932,"1993"
2,8,121547.442908646,"1993"
2,9,116442.34501449,"1993"
2,10,103046.458330755,"1993"
2,11,94526.6681449296,"1993"
2,12,73533.5993285297,"1993"
2,13,56603.1334309628,"1993"
2,14,47607.4442889026,"1993"
2,15,39641.2189349735,"1993"
2,16,24084.7614148821,"1993"
2,17,12042.380707441,"1993"
2,18,12042.380707441,"1993"
2,19,0,"1993"
1,1,103973.955931056,"1994"
1,2,117285.072328927,"1994"
1,3,123159.198056882,"1994"
1,4,131300.136091448,"1994"
1,5,147327.88207232,"1994"
1,6,149218.764372678,"1994"
1,7,136923.641815235,"1994"
1,8,123906.494960068,"1994"
1,9,118645.580922985,"1994"
1,10,107375.753928813,"1994"
1,11,94302.2702239704,"1994"
1,12,73708.9578646396,"1994"
1,13,55061.9871343209,"1994"
1,14,42438.1452016622,"1994"
1,15,33016.377481927,"1994"
1,16,16748.0152365491,"1994"
1,17,8374.00761827455,"1994"
1,18,8374.00761827455,"1994"
1,19,0,"1994"
2,1,99001.2197979253,"1994"
2,2,111440.431307345,"1994"
2,3,117421.79010431,"1994"
2,4,125662.06351868,"1994"
2,5,146070.920958976,"1994"
2,6,147043.565260868,"1994"
2,7,135657.027970638,"1994"
2,8,122775.194857218,"1994"
2,9,117618.530317667,"1994"
2,10,104087.331647227,"1994"
2,11,95481.4829746764,"1994"
2,12,74276.3629581109,"1994"
2,13,57174.8822534978,"1994"
