label,sex ,age,sex_code,2013,2014,2015
BKK,male,0-4,1,215607.3161,237346.6673,247166.5616
BKK,male,05-Sep,1,160498.2294,152190.4466,152113.0784
BKK,male,Oct-14,1,175676.0801,171794.7852,165406.8215
BKK,male,15-19,1,209995.3187,198530.4563,193227.8609
BKK,male,20-24,1,333906.7821,317599.7815,295787.1796
BKK,male,25-29,1,377041.9472,376822.5966,376798.5305
BKK,male,30-34,1,411243.7982,409616.0916,397676.1716
BKK,male,35-39,1,394691.4328,398479.3201,405362.5727
BKK,male,40-44,1,364342.5365,373495.643,373010.4825
BKK,male,45-49,1,315745.9969,321170.3672,335336.4323
BKK,male,50-54,1,265587.4586,275864.5944,280583.1182
BKK,male,55-59,1,203262.6361,206987.8821,222997.9704
BKK,male,60-64,1,143507.4892,155599.5416,160716.0676
BKK,male,65-69,1,87761.83787,91466.70197,102550.5917
BKK,male,70-74,1,61674.5026,63209.54945,65362.49893
BKK,male,75-79,1,45685.2928,45490.5425,47213.35119
BKK,male,80-84,1,25250.72244,25922.82925,27025.92795
BKK,male,85-89,1,12149.43342,12342.37057,13518.19595
BKK,male,90-94,1,3445.145995,3583.476617,3798.031209
BKK,male,95+,1,1124.152915,1047.228672,1116.167117
BKK,female,0-4,2,207289.4884,228169.942,236517.576
BKK,female,05-Sep,2,142442.3779,135385.7775,140950.8953
BKK,female,Oct-14,2,168230.3319,163884.2917,155079.1462
BKK,female,15-19,2,201833.5465,192250.4645,186706.5911
BKK,female,20-24,2,349414.8116,323149.9278,291445.0019
BKK,female,25-29,2,431578.2143,431276.5313,430176.1172
BKK,female,30-34,2,447366.7994,451365.2948,440999.2091
BKK,female,35-39,2,410485.6755,418402.0155,432095.7869
BKK,female,40-44,2,380787.1895,387406.4818,384081.8128
BKK,female,45-49,2,340734.937,346233.1104,361785.0918
BKK,female,50-54,2,292748.5666,303405.7945,310029.4807
BKK,female,55-59,2,231931.832,236592.1498,252493.9917
BKK,female,60-64,2,168885.7992,182225.5076,190271.8647
BKK,female,65-69,2,113425.6579,118819.3206,128627.8195
BKK,female,70-74,2,84908.38867,86662.65299,90013.67497
BKK,female,75-79,2,61991.71239,62873.36586,66636.60205
BKK,female,80-84,2,41032.45547,42581.97893,43317.83603
BKK,female,85-89,2,20625.54771,20868.46826,23434.3508
BKK,female,90-94,2,7187.218113,7276.154033,7620.529019
BKK,female,95+,2,2551.156301,2597.037323,2617.433911
