SEX	AGEGRP	YEAR	POP
1	1	1993	102934.2164
1	2	1993	116112.2216
1	3	1993	121927.6061
1	4	1993	129987.1347
1	5	1993	145854.6033
1	6	1993	147726.5767
1	7	1993	135554.4054
1	8	1993	122667.43
1	9	1993	117459.1251
1	10	1993	106301.9964
1	11	1993	93359.24752
1	12	1993	72971.86829
1	13	1993	54511.36726
1	14	1993	42013.76375
1	15	1993	32686.21371
1	16	1993	16580.53508
1	17	1993	8290.267542
1	18	1993	8290.267542
1	19	1993	0
2	1	1993	98011.2076
2	2	1993	110326.027
2	3	1993	116247.5722
2	4	1993	124405.4429
2	5	1993	144610.2117
2	6	1993	145573.1296
2	7	1993	134300.4577
2	8	1993	121547.4429
2	9	1993	116442.345
2	10	1993	103046.4583
2	11	1993	94526.66814
2	12	1993	73533.59933
2	13	1993	56603.13343
2	14	1993	47607.44429
2	15	1993	39641.21893
2	16	1993	24084.76141
2	17	1993	12042.38071
2	18	1993	12042.38071
2	19	1993	0
1	1	1994	103973.9559
1	2	1994	117285.0723
1	3	1994	123159.1981
1	4	1994	131300.1361
1	5	1994	147327.8821
1	6	1994	149218.7644
1	7	1994	136923.6418
1	8	1994	123906.495
1	9	1994	118645.5809
1	10	1994	107375.7539
1	11	1994	94302.27022
1	12	1994	73708.95786
1	13	1994	55061.98713
1	14	1994	42438.1452
1	15	1994	33016.37748
1	16	1994	16748.01524
1	17	1994	8374.007618
1	18	1994	8374.007618
1	19	1994	0
2	1	1994	99001.2198
2	2	1994	111440.4313
2	3	1994	117421.7901
2	4	1994	125662.0635
2	5	1994	146070.921
2	6	1994	147043.5653
2	7	1994	135657.028
2	8	1994	122775.1949
2	9	1994	117618.5303
2	10	1994	104087.3316
2	11	1994	95481.48297
2	12	1994	74276.36296
2	13	1994	57174.88225
2	14	1994	48088.32756
2	15	1994	40041.63529
2	16	1994	24328.04183
2	17	1994	12164.02092
2	18	1994	12164.02092
2	19	1994	0
1	1	1995	105024.1979
1	2	1995	118469.77
1	3	1995	124403.2304
1	4	1995	132626.4001
1	5	1995	148816.0425
1	6	1995	150726.0246
1	7	1995	138306.7089
1	8	1995	125158.0757
1	9	1995	119844.0211
1	10	1995	108460.3575
1	11	1995	95254.81841
1	12	1995	74453.49279
1	13	1995	55618.16882
1	14	1995	42866.81334
1	15	1995	33349.87624
1	16	1995	16917.18711
1	17	1995	8458.593554
1	18	1995	8458.593554
1	19	1995	0
2	1	1995	100001.2321
2	2	1995	112566.0922
2	3	1995	118607.8688
2	4	1995	126931.3773
2	5	1995	147546.3848
2	6	1995	148528.8538
2	7	1995	137027.301
2	8	1995	124015.3483
2	9	1995	118806.5963
2	10	1995	105138.7188
2	11	1995	96445.9424
2	12	1995	75026.62925
2	13	1995	57752.40632
2	14	1995	48574.06825
2	15	1995	40446.09625
2	16	1995	24573.77963
2	17	1995	12286.88981
2	18	1995	12286.88981
2	19	1995	0
1	1	1996	106085.0484
1	2	1996	119666.4344
1	3	1996	125659.8286
1	4	1996	133966.0607
1	5	1996	150319.2348
1	6	1996	152248.5097
1	7	1996	139703.7464
1	8	1996	126422.2987
1	9	1996	121054.5668
1	10	1996	109555.9167
1	11	1996	96216.98829
1	12	1996	75205.54828
1	13	1996	56179.96851
1	14	1996	43299.81145
1	15	1996	33686.74368
1	16	1996	17088.06779
1	17	1996	8544.033893
1	18	1996	8544.033893
1	19	1996	0
2	1	1996	101011.3456
2	2	1996	113703.1235
2	3	1996	119805.9281
2	4	1996	128213.5124
2	5	1996	149036.7523
2	6	1996	150029.1453
2	7	1996	138411.4151
2	8	1996	125268.0286
2	9	1996	120006.6629
2	10	1996	106200.7261
2	11	1996	97420.14384
2	12	1996	75784.47399
2	13	1996	58335.76396
2	14	1996	49064.7154
2	15	1996	40854.64268
2	16	1996	24821.99963
2	17	1996	12410.99981
2	18	1996	12410.99981
2	19	1996	0
1	1	1997	107156.6145
1	2	1997	120875.1862
1	3	1997	126929.1198
1	4	1997	135319.2532
1	5	1997	151837.611
1	6	1997	153786.3735
1	7	1997	141114.8953
1	8	1997	127699.2916
1	9	1997	122277.3402
1	10	1997	110662.5421
1	11	1997	97188.87706
1	12	1997	75965.20028
1	13	1997	56747.44294
1	14	1997	43737.18328
1	15	1997	34027.01382
1	16	1997	17260.67453
1	17	1997	8630.337265
1	18	1997	8630.337265
1	19	1997	0
2	1	1997	102031.6622
2	2	1997	114851.6399
2	3	1997	121016.089
2	4	1997	129508.5984
2	5	1997	150542.1741
2	6	1997	151544.5912
2	7	1997	139809.5102
2	8	1997	126533.3622
2	9	1997	121218.8514
2	10	1997	107273.4607
2	11	1997	98404.18569
2	12	1997	76549.97373
2	13	1997	58925.0141
2	14	1997	49560.31859
2	15	1997	41267.31584
2	16	1997	25072.72689
2	17	1997	12536.36345
