"regcode","reglabel","year","sex","site","age_group","age_label","cases","py"
"A5622","Happyland",2008,1,"Lip, oral cavity",1,"00-04",0,72051
"A5622","Happyland",2008,1,"Other pharynx",1,"00-04",0,72051
"A5622","Happyland",2008,1,"Nasopharynx",1,"00-04",0,72051
"A5622","Happyland",2008,1,"Oesophagus",1,"00-04",0,72051
"A5622","Happyland",2008,1,"Stomach",1,"00-04",0,72051
"A5622","Happyland",2008,1,"Other",1,"00-04",12,72051
"A5622","Happyland",2008,1,"Colorectum",1,"00-04",0,72051
"A5622","Happyland",2008,1,"Liver",1,"00-04",1,72051
"A5622","Happyland",2008,1,"Gallbladder",1,"00-04",0,72051
"A5622","Happyland",2008,1,"Pancreas",1,"00-04",0,72051
"A5622","Happyland",2008,1,"Larynx",1,"00-04",0,72051
"A5622","Happyland",2008,1,"Lung",1,"00-04",0,72051
"A5622","Happyland",2008,1,"Other skin",1,"00-04",1,72051
"A5622","Happyland",2008,1,"Breast",1,"00-04",0,72051
"A5622","Happyland",2008,1,"Vulva",1,"00-04",0,72051
"A5622","Happyland",2008,1,"Vagina",1,"00-04",0,72051
"A5622","Happyland",2008,1,"Cervix uteri",1,"00-04",0,72051
"A5622","Happyland",2008,1,"Corpus uteri",1,"00-04",0,72051
"A5622","Happyland",2008,1,"Ovary",1,"00-04",0,72051
"A5622","Happyland",2008,1,"Prostate",1,"00-04",0,72051
"A5622","Happyland",2008,1,"Testis",1,"00-04",0,72051
"A5622","Happyland",2008,1,"Kidney",1,"00-04",2,72051
"A5622","Happyland",2008,1,"Bladder",1,"00-04",0,72051
"A5622","Happyland",2008,1,"Brain, nervous system",1,"00-04",1,72051
"A5622","Happyland",2008,1,"Thyroid",1,"00-04",0,72051
"A5622","Happyland",2009,1,"Lip, oral cavity",1,"00-04",0,72511
"A5622","Happyland",2009,1,"Other pharynx",1,"00-04",0,72511
"A5622","Happyland",2009,1,"Nasopharynx",1,"00-04",0,72511
"A5622","Happyland",2009,1,"Oesophagus",1,"00-04",0,72511
"A5622","Happyland",2009,1,"Stomach",1,"00-04",0,72511
"A5622","Happyland",2009,1,"Other",1,"00-04",4,72511
"A5622","Happyland",2009,1,"Colorectum",1,"00-04",0,72511
"A5622","Happyland",2009,1,"Liver",1,"00-04",1,72511
"A5622","Happyland",2009,1,"Gallbladder",1,"00-04",0,72511
"A5622","Happyland",2009,1,"Pancreas",1,"00-04",0,72511
"A5622","Happyland",2009,1,"Larynx",1,"00-04",0,72511
"A5622","Happyland",2009,1,"Lung",1,"00-04",0,72511
"A5622","Happyland",2009,1,"Other skin",1,"00-04",0,72511
"A5622","Happyland",2009,1,"Breast",1,"00-04",0,72511
"A5622","Happyland",2009,1,"Vulva",1,"00-04",0,72511
"A5622","Happyland",2009,1,"Vagina",1,"00-04",0,72511
